,Title,Year,Director,Genres,P(Liked)
137,Le Bonheur,1965,Agnès Varda,Drama|Romance,0.702
138,Afrique 50,1950,René Vautier,Documentary,0.701
139,Death by Hanging,1968,Nagisa Ōshima,Comedy|Drama,0.701
140,The House Is Black,1963,Forugh Farrokhzad,Documentary,0.7
141,"Jeanne Dielman, 23, quai du Commerce, 1080 Bruxelles",1975,Chantal Akerman,Drama,0.7
142,Fill 'er Up with Super,1976,Alain Cavalier,Comedy,0.697
143,Class Relations,1984,Danièle Huillet,Drama,0.695
144,Last Year at Marienbad,1961,Alain Resnais,Drama|Romance,0.694
145,Castle in the Sky,1986,Hayao Miyazaki,Adventure|Fantasy|Animation|Action|Family,0.694
146,Apur Sansar,1959,Satyajit Ray,Drama,0.694
147,Ikiru,1952,Akira Kurosawa,Drama,0.693
148,Chronicle of a Summer,1961,Jean Rouch,Documentary,0.693
149,One Flew Over the Cuckoo's Nest,1975,Miloš Forman,Drama,0.693
150,Manila in the Claws of Light,1975,Lino Brocka,Drama|Mystery,0.693
151,Crooks in Clover,1963,Georges Lautner,Comedy|Crime,0.692
152,Killer of Sheep,1978,Charles Burnett,Drama,0.692
153,"Black God, White Devil",1964,Glauber Rocha,Adventure|Western|Drama,0.689
154,All the President's Men,1976,Alan J. Pakula,Drama|Mystery|Thriller,0.689
155,Tokyo Twilight,1957,Yasujirō Ozu,Drama,0.689
156,Weekend,1967,David McNeil,,0.689
157,Lamb,1963,Paulin Soumanou Vieyra,Documentary,0.689
158,It's a Wonderful Life,1946,Frank Capra,Drama|Family|Fantasy,0.689
159,High Noon,1952,Fred Zinnemann,Western|Drama|Thriller,0.688
160,Nothing But a Man,1964,Michael Roemer,Drama|Romance,0.685
161,Opening Night,1977,John Cassavetes,Drama,0.685
162,The Bad Sleep Well,1960,Akira Kurosawa,Crime|Drama|Thriller,0.685
163,The Long Goodbye,1973,Robert Altman,Mystery|Drama|Crime,0.684
164,Metropolis,1927,Fritz Lang,Drama|Science Fiction,0.684
165,A Different Image,1982,Alile Sharon Larkin,Drama,0.683
166,A Nos Amours,1983,Maurice Pialat,Drama|Romance,0.683
167,"Bashu, the Little Stranger",1989,Bahram Beyzai,Drama|War,0.682
168,Those Whom Death Refused,1988,Flora Gomes,Drama|War,0.682
169,Gone with the Wind,1939,Victor Fleming,Drama|War|Romance,0.682
170,Mo' Better Blues,1990,Spike Lee,Drama|Music,0.682
171,Badlands,1973,Terrence Malick,Crime|Drama|Romance,0.681
172,Céline and Julie Go Boating,1974,Jacques Rivette,Comedy|Drama|Fantasy,0.681
