letterboxd_title,letterboxd_year,rating,liked,tmdb_id,tmdb_title,genres,runtime,release_year,original_language,director,tmdb_vote_avg,tmdb_vote_count,tmdb_popularity,budget,imdb_rating,imdb_votes,rt_score,awards,country
La Cérémonie,1995,4.0,1,1802,La Cérémonie,Drama|Thriller,112,1995,fr,Claude Chabrol,7.279,393,2.4304,0,6.1,16,,0,France
The Master,2012,4.0,1,68722,The Master,Drama,137,2012,en,Paul Thomas Anderson,7.101,3269,4.8806,32000000,7.1,197015,85,1,United States
Phantom Thread,2017,4.0,1,400617,Phantom Thread,Drama|Romance,130,2017,en,Paul Thomas Anderson,7.316,3758,5.5507,35000000,7.4,156650,91,1,United States
Barry Lyndon,1975,3.5,1,3175,Barry Lyndon,Drama|Romance|War|History,188,1975,en,Stanley Kubrick,8.0,3149,5.349,11000000,8.1,202448,78,1,United Kingdom
One Battle After Another,2025,3.0,0,1054867,One Battle After Another,Thriller|Crime|Comedy,162,2025,en,Paul Thomas Anderson,7.37,3449,35.4948,175000000,7.7,329147,95,1,United States
Vagabond,1985,3.0,0,44018,Vagabond,Drama,106,1985,fr,Agnès Varda,7.354,359,1.6033,0,7.6,15366,100,1,France
Soleil O,1970,5.0,1,195841,Soleil O,Drama,104,1973,fr,Med Hondo,6.8,23,0.4102,0,8.4,89,,0,Canada
Love in the Afternoon,1972,3.5,1,12116,Love in the Afternoon,Drama|Romance,97,1972,fr,Éric Rohmer,7.3,210,1.3699,0,7.6,10111,87,1,France
La Jetée,1962,4.0,1,662,La Jetée,Drama|Romance|Science Fiction,29,1962,fr,Chris Marker,7.879,991,1.9077,0,8.2,37834,90,1,France
Fireworks,1997,4.5,1,5910,Fireworks,Crime|Drama,103,1997,ja,Takeshi Kitano,7.666,766,3.6528,0,7.7,34784,96,1,Japan
Training Day,2001,4.0,1,2034,Training Day,Action|Crime|Drama,122,2001,en,Antoine Fuqua,7.517,6510,7.3734,45000000,7.8,512753,74,1,United States
Good Will Hunting,1997,3.0,0,489,Good Will Hunting,Drama,127,1997,en,Gus Van Sant,8.159,13692,13.7049,10000000,8.3,1186230,97,1,United States
Chameleon Street,1989,3.5,1,102831,Chameleon Street,Comedy|Drama|Crime,94,1991,en,Wendell B. Harris Jr.,6.6,29,0.878,0,6.9,1278,100,1,United States
Rear Window,1954,4.5,1,567,Rear Window,Thriller|Mystery,112,1954,en,Alfred Hitchcock,8.341,7092,9.52,1000000,8.5,561392,99,1,United States
On Becoming a Guinea Fowl,2024,3.5,1,1082938,On Becoming a Guinea Fowl,Comedy|Drama,99,2024,en,Rungano Nyoni,7.559,34,0.7439,0,7.0,1554,100,1,United Kingdom
Princess Mononoke,1997,4.0,1,128,Princess Mononoke,Adventure|Fantasy|Animation,134,1997,ja,Hayao Miyazaki,8.325,8892,15.9089,23500000,8.3,477867,93,1,Japan
